pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
30,650633,"King, Michael",2895,1,0.1,0,0.1,0.1,0.088,0.472,0.506,3,30,78.8,14,2263,87.6,87.4,0,30,0,-0.2,6.14,114,148,116,150,293,322,297,3.7,-3.7,70.94667929,7.208865357
27,554430,"Wheeler, Zack",3134,0.9,0.037,0,0.037,0.037,0.033,0.482,0.513,1,27,82.6,13,2343,91.2,92.55,0,27,0,1.3,7.08,115,147,116,148,291,320,295,4.1,-4.1,68.9780088,6.7811528
24,694813,"Stone, Gavin",2152,1.1,0.083,0,0.083,0.083,0.073,0.481,0.519,2,24,80.3,13.6,1995,91.7,92.23,0,24,0,0.5,6.6,115,151,123,150,297,315,293,3.6,-3.6,70.16507348,7.052101304
23,669203,"Burnes, Corbin",2996,0.8,0.087,0,0.087,0.087,0.077,0.447,0.478,2,23,82.9,11.8,2664,90.9,91.31,0,23,0,0.4,6.49,114,147,121,149,297,323,296,3.7,-3.7,70.09108318,7.196426364
22,650911,"Sánchez, Cristopher",2797,0.8,0,0,0,0,0,0.49,0.526,0,22,78.7,14.3,2055,88.6,89.72,0,22,0,1.1,7,106,149,117,148,299,322,291,4.5,-4.5,70.01371091,7.622785
21,607200,"Fedde, Erick",2891,0.7,0,0,0,0,0,0.474,0.51,0,21,81.7,13.1,2055,89.5,90.34,0,21,0,0.8,6.64,114,146,112,147,296,319,295,5,-5,70.42797053,7.099931053
20,656605,"Keller, Mitch",2851,0.7,0.05,0,0.05,0.05,0.044,0.489,0.52,1,20,87.5,9.1,2482,89.1,89.44,0,20,0,0.3,6.43,116,148,108,150,297,321,298,4.1,-4.1,70.95142529,7.082344706
20,502043,"Gibson, Kyle",2764,0.7,0.1,0,0.1,0.1,0.088,0.604,0.643,2,20,85.7,13.1,2107,87.1,88.11,0,20,0,1,6.92,110,147,113,148,301,320,298,3.1,-3.1,71.85277,7.316441
19,571578,"Corbin, Patrick",2888,0.7,0,0,0,0,0,0.536,0.573,0,19,82.1,14.6,2196,86.3,87.13,0,19,0,0.8,6.75,111,150,116,145,301,325,297,4.6,-4.6,70.12603765,6.901467059
19,621107,"Eflin, Zach",2447,0.8,0.105,0,0.105,0.105,0.093,0.454,0.483,2,19,78.7,15.1,2187,85.3,85.74,0,19,0,0.4,6.63,104,148,115,146,294,326,297,3.8,-3.8,72.15556375,7.407761875
19,680730,"Parker, Mitchell",2404,0.8,0.053,0,0.053,0.053,0.046,0.582,0.615,1,19,89,12.4,1916,89.4,90.51,0,19,0,1.1,6.84,114,150,117,146,304,324,298,4,-4,72.9280779,7.057448421
