pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
136,571578,"Corbin, Patrick",2888,4.7,0.711,0.274,0.706,0.985,0.723,0.681,0.657,96,135,95.6,17,2143,87.2,88,0,136,0,0.8,6.76,109,149,120,145,302,324,295,-44.2,44.2,71.87764669,7.211284113
131,607625,"Lugo, Seth",3112,4.2,0.705,0.256,0.695,0.961,0.705,0.63,0.612,91,129,95.3,16.8,2594,88.1,87.73,0,131,0,-0.4,6.05,113,148,117,150,298,323,297,-37.7,37.7,71.70602066,7.152377705
131,656605,"Keller, Mitch",2851,4.6,0.734,0.273,0.718,1.008,0.731,0.603,0.607,94,128,94,16.8,2504,89.5,89.94,0,131,0,0.4,6.46,112,148,110,148,303,323,296,-46.9,46.9,71.40637067,7.110616555
126,596295,"Gomber, Austin",2622,4.8,0.653,0.194,0.643,0.847,0.638,0.621,0.594,81,124,94.7,17.7,2180,84.6,85.53,0,126,0,0.9,6.76,112,150,125,146,304,330,298,-38.4,38.4,72.13076947,7.397149912
125,657277,"Webb, Logan",3201,3.9,0.77,0.254,0.752,1.025,0.755,0.697,0.693,94,122,97.5,15.4,1912,88.9,90.19,0,125,0,1.3,7.04,110,148,121,150,295,322,295,-43.4,43.4,73.13251845,7.147361456
124,669022,"Gore, MacKenzie",2994,4.1,0.779,0.254,0.766,1.033,0.768,0.672,0.675,95,122,92.3,17.5,2255,92.4,93.62,0,124,0,1.2,7,108,149,119,147,301,321,294,-49.9,49.9,71.71385241,7.149144643
123,663903,"Singer, Brady",2967,4.1,0.667,0.211,0.667,0.878,0.666,0.652,0.64,82,123,93.7,17.3,2329,88.1,89.54,0,123,0,1.4,7.02,112,149,120,150,299,324,297,-31.7,31.7,71.37624913,7.251978522
122,571945,"Mikolas, Miles",2705,4.5,0.756,0.319,0.738,1.076,0.766,0.667,0.667,90,119,94.9,16.7,2234,87.3,87.41,0,122,0,0.1,6.32,112,148,113,148,303,321,301,-46.3,46.3,72.53446802,7.262184717
122,621244,"Berríos, José",2914,4.2,0.656,0.156,0.656,0.811,0.635,0.668,0.669,80,122,92.5,17.2,2064,89.5,89.59,0,122,0,0.1,6.39,109,149,118,150,289,321,293,-25.3,25.3,71.98878918,7.089254182
121,623167,"Flexen, Chris",2797,4.3,0.725,0.292,0.719,1.017,0.741,0.668,0.639,87,120,94.8,17.8,2204,85.8,85.95,0,121,0,0.2,6.32,110,148,119,148,295,324,296,-40.3,40.3,71.67995862,7.261339725
